x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-46.35000E-03,+40.20100E-03,-13.39133176E+00,-20.10050E-03,+18.69346748E+00
-46.30000E-03,+40.20100E-03,-13.79334182E+00,-20.10050E-03,+18.69346748E+00
-46.25000E-03,+60.30151E-03,-13.79334182E+00,-20.10050E-03,+18.69346748E+00
-46.20000E-03,+40.20100E-03,-14.19535187E+00,-20.10050E-03,+18.69346748E+00
-46.15000E-03,+40.20100E-03,-14.19535187E+00,-20.10050E-03,+18.89447251E+00
-46.10000E-03,+60.30151E-03,-14.39635690E+00,-20.10050E-03,+18.69346748E+00
-46.05000E-03,+40.20100E-03,-14.59736192E+00,-20.10050E-03,+18.69346748E+00
-46.00000E-03,+40.20100E-03,-14.79836695E+00,-20.10050E-03,+18.69346748E+00
-45.95000E-03,+60.30151E-03,-14.99937198E+00,-20.10050E-03,+18.49246246E+00
-45.90000E-03,+40.20100E-03,-15.20037700E+00,-20.10050E-03,+18.69346748E+00
-45.85000E-03,+40.20100E-03,-15.20037700E+00,-20.10050E-03,+18.69346748E+00
-45.80000E-03,+60.30151E-03,-15.60238706E+00,-20.10050E-03,+18.69346748E+00
-45.75000E-03,+40.20100E-03,-15.80339208E+00,-20.10050E-03,+18.69346748E+00
-45.70000E-03,+40.20100E-03,-15.80339208E+00,-20.10050E-03,+18.69346748E+00
-45.65000E-03,+40.20100E-03,-16.20540214E+00,-20.10050E-03,+18.69346748E+00
-45.60000E-03,+40.20100E-03,-16.20540214E+00,-20.10050E-03,+18.69346748E+00
-45.55000E-03,+40.20100E-03,-16.40640716E+00,-20.10050E-03,+18.69346748E+00
-45.50000E-03,+40.20100E-03,-16.60741219E+00,-40.20100E-03,+18.69346748E+00
-45.45000E-03,+40.20100E-03,-16.80841722E+00,-20.10050E-03,+18.69346748E+00
-45.40000E-03,+40.20100E-03,-17.00942224E+00,-0.0E+00,+18.69346748E+00
-45.35000E-03,+60.30151E-03,-17.41143230E+00,-20.10050E-03,+18.69346748E+00
-45.30000E-03,+40.20100E-03,-17.41143230E+00,-20.10050E-03,+18.49246246E+00
-45.25000E-03,+40.20100E-03,-17.41143230E+00,-20.10050E-03,+18.69346748E+00
-45.20000E-03,+40.20100E-03,-17.81344235E+00,-20.10050E-03,+18.49246246E+00
-45.15000E-03,+40.20100E-03,-18.01444738E+00,-20.10050E-03,+18.49246246E+00
-45.10000E-03,+40.20100E-03,-18.01444738E+00,-20.10050E-03,+18.49246246E+00
-45.05000E-03,+40.20100E-03,-18.21545240E+00,-20.10050E-03,+18.69346748E+00
-45.00000E-03,+40.20100E-03,-18.21545240E+00,-20.10050E-03,+18.69346748E+00
-44.95000E-03,+60.30151E-03,-18.41645743E+00,-20.10050E-03,+18.69346748E+00
-44.90000E-03,+40.20100E-03,-18.21545240E+00,-20.10050E-03,+18.69346748E+00
-44.85000E-03,+40.20100E-03,-18.41645743E+00,-20.10050E-03,+18.49246246E+00
-44.80000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.49246246E+00
-44.75000E-03,+40.20100E-03,-18.61746246E+00,-20.10050E-03,+18.49246246E+00
-44.70000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-44.65000E-03,+60.30151E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-44.60000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-44.55000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-44.50000E-03,+60.30151E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-44.45000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.49246246E+00
-44.40000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.49246246E+00
-44.35000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.49246246E+00
-44.30000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-44.25000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-44.20000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.49246246E+00
-44.15000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.49246246E+00
-44.10000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-44.05000E-03,+60.30151E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-44.00000E-03,+40.20100E-03,-19.01947251E+00,-0.0E+00,+18.49246246E+00
-43.95000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-43.90000E-03,+60.30151E-03,-19.22047754E+00,-20.10050E-03,+18.49246246E+00
-43.85000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.80000E-03,+60.30151E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.75000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.70000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.65000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.49246246E+00
-43.60000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.55000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-43.50000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.45000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.40000E-03,+60.30151E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-43.35000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.30000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.25000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.49246246E+00
-43.20000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.49246246E+00
-43.15000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-43.10000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-43.05000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-43.00000E-03,+40.20100E-03,-19.01947251E+00,-0.0E+00,+18.49246246E+00
-42.95000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-42.90000E-03,+40.20100E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-42.85000E-03,+20.10050E-03,-19.22047754E+00,-20.10050E-03,+18.69346748E+00
-42.80000E-03,+60.30151E-03,-19.01947251E+00,-20.10050E-03,+18.49246246E+00
-42.75000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.49246246E+00
-42.70000E-03,+60.30151E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-42.65000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-42.60000E-03,+40.20100E-03,-19.01947251E+00,-20.10050E-03,+18.69346748E+00
-42.55000E-03,+60.30151E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-42.50000E-03,+40.20100E-03,-18.81846748E+00,-20.10050E-03,+18.69346748E+00
-42.45000E-03,+40.20100E-03,-18.61746246E+00,-20.10050E-03,+18.69346748E+00
-42.40000E-03,+40.20100E-03,-18.61746246E+00,-20.10050E-03,+18.49246246E+00
-42.35000E-03,+40.20100E-03,-18.21545240E+00,-20.10050E-03,+18.69346748E+00
-42.30000E-03,+60.30151E-03,-18.01444738E+00,-20.10050E-03,+18.49246246E+00
-42.25000E-03,+40.20100E-03,-18.01444738E+00,-20.10050E-03,+18.69346748E+00
-42.20000E-03,+60.30151E-03,-17.61243732E+00,-20.10050E-03,+18.49246246E+00
-42.15000E-03,+40.20100E-03,-17.21042727E+00,-20.10050E-03,+18.49246246E+00
-42.10000E-03,+40.20100E-03,-17.00942224E+00,-20.10050E-03,+18.69346748E+00
-42.05000E-03,+40.20100E-03,-16.80841722E+00,-20.10050E-03,+18.69346748E+00
-42.00000E-03,+40.20100E-03,-16.60741219E+00,-20.10050E-03,+18.69346748E+00
-41.95000E-03,+40.20100E-03,-16.20540214E+00,-20.10050E-03,+18.69346748E+00
-41.90000E-03,+40.20100E-03,-16.00439711E+00,+0.0E+00,+18.69346748E+00
-41.85000E-03,+40.20100E-03,-15.80339208E+00,-20.10050E-03,+18.69346748E+00
-41.80000E-03,+40.20100E-03,-15.60238706E+00,-20.10050E-03,+18.69346748E+00
-41.75000E-03,+40.20100E-03,-15.40138203E+00,-20.10050E-03,+18.49246246E+00
-41.70000E-03,+40.20100E-03,-14.99937198E+00,-20.10050E-03,+18.49246246E+00
-41.65000E-03,+40.20100E-03,-14.59736192E+00,-20.10050E-03,+18.69346748E+00
-41.60000E-03,+40.20100E-03,-14.39635690E+00,-20.10050E-03,+18.49246246E+00
-41.55000E-03,+40.20100E-03,-13.99434684E+00,-20.10050E-03,+18.49246246E+00
